	point_return_endline_index	point_return_endline_index	slope (pN/nm)	slope (pN/nm)	contact_point_index	contact_point_index	jump_distance_start_pull (nm)	jump_distance_start_pull (nm)	point_transition_index	point_transition_index	optical_state	optical_state	point_release_value (pN)	point_release_value (pN)	point_return_endline_value (pN)	point_return_endline_value (pN)	Pente (pN/nm)	Pente (pN/nm)	jump_distance_end_pull (nm)	jump_distance_end_pull (nm)	contact_point_value  (pN)	contact_point_value  (pN)	jump_force_end_pull (pN)	jump_force_end_pull (pN)	type	type	automatic_type	automatic_type	error (pN/nm)	error (pN/nm)	force_max_pull_value (pN)	force_max_pull_value (pN)	point_transition_value (pN)	point_transition_value (pN)	point_release_index	point_release_index	force_max_pull_index	force_max_pull_index	jump_force_start_pull (pN)	jump_force_start_pull (pN)
	self	other	self	other	self	other	self	other	self	other	self	other	self	other	self	other	self	other	self	other	self	other	self	other	self	other	self	other	self	other	self	other	self	other	self	other	self	other	self	other
Unnamed: 0																																								
b1c1gg-2021.06.02-15.32.23.111.txt	1235.0	667.0	-0.0586	-0.0627	10087	10129	NaN	NaN	1225.0	657.0	NaN	Auto	NaN	NaN	1.633157402000002	0.9084056201503588	331.974962499827	323.5824224819756	-877.3016375682491	-320.3160413943133	-0.2369535979999966	0.0668870056171468	-1.7770880000000018	-1.0523362181503586	FTU	AD	FTU	AD	0.00132	0.0008	6.079540402000001	6.113532187524061	1.4745464020000032	1.9033073665092628	NaN	NaN	NaN	NaN	6.223471000000001	6.257462785524061
b1c1gg-2021.06.02-15.34.06.018.txt	NaN	NaN	-0.00466	-0.0103	8701	9465	NaN	NaN	NaN	NaN	NaN	Auto	-0.2869345739999985	0.2465928974152431	NaN	NaN	1245.8484214473428	759.1004262071253	NaN	NaN	-0.0516795740000002	0.0428530196150758	NaN	NaN	NaN	NaN	NaN	NaN	4.66e-05	6.76e-05	0.5532444260000019	1.511600732202164	NaN	NaN	1483.0	705.0	2970.0	2146.0	NaN	NaN
b1c1gg-2021.06.02-15.34.26.234.txt	NaN	NaN	-0.00466	-0.0114	8641	9788	NaN	NaN	NaN	NaN	NaN	Auto	-0.2990447159999989	-0.3642537159999985	NaN	NaN	791.2169464932616	805.809683416178	NaN	NaN	-0.292014715999999	0.3890652039680531	NaN	NaN	NaN	NaN	NaN	NaN	4.75e-05	5.86e-05	-0.0593727159999969	1.6494269768961924	NaN	NaN	721.0	720.0	2077.0	1650.0	NaN	NaN
b3c3-2021.06.07-14.57.55.683.jpk-nt-force	791.0	804.0	-0.0266	-0.04	15041	15577	254.0898932164309	251.17942463132567	771.0	784.0	NaN	Auto	NaN	NaN	-1.5415797124093582	-0.0201601537042774	421.9469222291178	421.0275398362186	-312.79385981377163	-330.4484441768964	-0.1726744672784851	0.2452166762426215	1.5293786990760945	0.0079591403710137	NaN	NaN	NaN	NaN	0.000174	0.000195	11.890425558079068	13.845164805643208	11.890425558079068	0.5667298633106013	NaN	NaN	771.0	769.0	11.902626571412332	13.857365818976472
b3c3-2021.06.07-15.00.35.722.jpk-nt-force	2078.0	1593.0	-0.0716	-0.0759	20226	20258	876.524235745248	895.2105562202632	2058.0	1573.0	NaN	Auto	NaN	NaN	0.9301620230417994	0.4875908279618752	369.3722097612633	360.2727262343868	-1510.6063582753904	-1045.911856547089	-0.485463963582918	-0.3024136497612661	-1.144346379351847	-0.7017751842719226	FTU	AD	FTU	AD	0.000611	0.000352	32.54747081748645	30.32152458813433	1.7154347440118631	-0.378455741895086	NaN	NaN	1510.0	1529.0	32.7616551737965	30.53570894444438
b3c3-2021.06.07-14.56.40.932.jpk-nt-force	2440.0	1470.0	-0.0324	-0.0451	20026	20131	461.1659634417738	839.6980560634656	2420.0	1450.0	NaN	Auto	NaN	NaN	2.2052147940514293	1.375753091151057	402.9430029720007	406.1936379580956	-1897.0902450826925	-1105.5462122510198	-0.2673673308555219	-0.1156862868738959	-2.118999528274504	-1.289537825374132	NaN	NaN	NaN	NaN	0.000612	0.000256	6.073075194838606	8.022210462178146	2.069824603191104	1.7610382091858066	NaN	NaN	813.0	1172.0	5.986859929061681	7.935995196401221
b1c1-2021.06.07-14.34.00.774.jpk-nt-force	NaN	NaN	-0.00277	-0.0118	19592	21639	NaN	NaN	NaN	NaN	NaN	Auto	50.26124322945365	50.35405954237579	NaN	NaN	4911.465407354036	4575.603837459731	NaN	NaN	-0.3785520804811425	-0.0245004865969304	NaN	NaN	NaN	NaN	NaN	NaN	1.82e-05	3.71e-05	53.04450120536383	54.19039656277625	NaN	NaN	4996.0	4421.0	20436.0	5771.0	NaN	NaN
